scenario,seed,cumulative_churn,mean_trust_all,mean_trust,mean_harm,platform_reputation,reputation,cumulative_revenue,cumulative_costs,net_value,opportunity_cost,cumulative_projected_revenue,tipping_points_triggered_count,active_users,cumulative_negative_wom_count,cumulative_positive_wom_count,trust_collapse_step,social_contagion_step,churn_cascade_step,extractive_divergence_step,trust_collapse_triggered,social_contagion_triggered,churn_cascade_triggered,extractive_divergence_triggered,churned_skeptic,churned_naive,churned_activist,trust_skeptic,trust_naive,trust_activist,n_skeptic,churned_skeptic_total,n_naive,churned_naive_total,n_activist,churned_activist_total
control,35,0.072,0.7303071156738883,0.7302552171539248,0.0,92.0,0.8111786520077473,720054.6655503374,15125.599999999999,704929.0655503374,-70160.45121706359,649894.2143332738,0.0,464.0,0.0,25477.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,7.0,16.0,13.0,0.6241220940658533,0.8266529520392647,0.6757852305822386,169,7,239,16,92,13
control,36,0.096,0.7303756596083399,0.732934986168566,0.0,92.0,0.8130544903179961,702085.4923630268,15047.699999999999,687037.7923630269,-124779.37552211166,577306.1168409152,0.0,452.0,0.0,25137.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,24.0,18.0,6.0,0.6256680105542677,0.8249010567155384,0.6770876190547769,177,24,242,18,81,6
control,37,0.106,0.7288237459238284,0.7312386544760492,0.0,92.0,0.8118670581332343,711202.209956897,15072.199999999997,696130.009956897,-82077.54872133886,629124.6612355581,0.0,447.0,0.0,26709.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,22.0,20.0,11.0,0.6255422377273206,0.8242884386958459,0.6809630366036299,157,22,229,20,114,11
control,38,0.08,0.7373047129528444,0.7390210127441434,0.0,92.0,0.8173147089209003,714414.7214494252,15052.4,699362.3214494252,-73438.78092694806,640975.9405224771,0.0,460.0,0.0,26597.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,17.0,17.0,6.0,0.626398852474188,0.8264337780597752,0.6807495895024296,143,17,248,17,109,6
control,39,0.082,0.7370607821549198,0.737416011328072,0.0,92.0,0.8161912079296503,713632.7602292941,15108.60000000001,698524.1602292941,-95349.76609893795,618282.9941303561,0.0,459.0,0.0,25561.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,14.0,19.0,8.0,0.6226950407419866,0.8251124363280881,0.6783924610774124,144,14,253,19,103,8
control,40,0.086,0.7392521303230313,0.7395433439316313,0.0,92.0,0.8176803407521418,716447.9024946224,15094.3,701353.6024946223,-67221.08931014198,649226.8131844804,0.0,457.0,0.0,25029.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,14.0,22.0,7.0,0.6261475924487326,0.8259771516470298,0.6745842212952101,145,14,260,22,95,7
control,41,0.086,0.72836468874172,0.7320104910240575,0.0,92.0,0.8124073437168402,711657.4161989613,15058.700000000044,696598.7161989613,-87819.03533415764,623838.3808648037,0.0,457.0,0.0,25367.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,21.0,11.0,11.0,0.6233675093916319,0.823649830251965,0.6731979352335707,167,21,238,11,95,11
control,42,0.066,0.7314383890433573,0.733247298024542,0.0,92.0,0.8132731086171794,723954.3483331804,15215.3,708739.0483331804,-85274.21828533744,638680.130047843,0.0,467.0,0.0,26188.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,15.0,11.0,7.0,0.6254157927096777,0.8261855601699968,0.6741584097425377,160,15,239,11,101,7
control,43,0.086,0.7296992009312963,0.7308825332388487,0.0,92.0,0.8116177732671941,713392.9148568928,15078.700000000043,698314.2148568927,-83323.5652445337,630069.3496123591,0.0,457.0,0.0,25480.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,17.0,15.0,11.0,0.6260873468238153,0.8240706939216791,0.6753494358026809,166,17,235,15,99,11
control,44,0.078,0.7387380944798256,0.7398755746942349,0.0,92.0,0.8179129022859644,715576.1481675176,15083.600000000022,700492.5481675176,-80065.46717535763,635510.68099216,0.0,461.0,0.0,25796.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,13.0,16.0,10.0,0.6244734890991944,0.8277565168637643,0.6735005423860491,144,13,256,16,100,10
